Volatility,Node,Date,Sit,INV,DNG,QNG,HHDiffit,Ft,COT,HHst,TFE,,,
6.71862E-05,East,5/20/2011,7.84,405,121722.50,38345.75,-3.690,4.204,915318,4.15,73,,,
0.002937699,East,5/27/2011,7.84,434,121722.50,38345.75,-3.490,4.383,919093,4.35,74,,,
0.074096272,East,6/3/2011,9.09,458,120053.25,37441.75,-4.440,4.699,981615,4.65,75,,,
0.001643535,East,6/10/2011,9.09,483,120053.25,37441.75,-4.260,4.787,1013660,4.83,76,,,
0.00401706,East,6/17/2011,9.09,515,120053.25,37441.75,-4.530,4.508,976498,4.56,77,,,
0.00257786,East,6/24/2011,9.09,542,120053.25,37441.75,-4.760,4.289,960530,4.33,78,,,
0.227424793,East,7/1/2011,11.35,574,109411.00,34465.00,-7.030,4.323,974776,4.32,79,,,
8.09374E-06,East,7/8/2011,11.35,602,109411.00,34465.00,-7.050,4.23,988230,4.3,80,,,
0.000243449,East,7/15/2011,11.35,627,109411.00,34465.00,-6.940,4.39,980563,4.41,81,,,
0.000600038,East,7/22/2011,11.35,646,109411.00,34465.00,-6.770,4.475,951287,4.58,82,,,
0.000706916,East,7/29/2011,11.35,666,109411.00,34465.00,-6.950,4.303,968004,4.4,83,,,
0.000132498,East,8/5/2011,11.08,683,132290.50,42959.50,-6.870,4.063,981087,4.21,84,,,
0.000358074,East,8/12/2011,11.08,702,132290.50,42959.50,-7.000,4.02,1000246,4.08,85,,,
0.0001,East,8/19/2011,11.08,729,132290.50,42959.50,-7.070,3.944,998590,4.01,86,,,
0,East,8/26/2011,11.08,751,132290.50,42959.50,-7.070,3.933,975210,4.01,87,,,
0.047446329,East,9/2/2011,9.54,776,94640.00,33866.40,-5.530,3.948,977952,4.01,88,,,
8.17504E-05,East,9/9/2011,9.54,801,94640.00,33866.40,-5.580,3.943,952674,3.96,89,,,
3.21168E-06,East,9/16/2011,9.54,825,94640.00,33866.40,-5.590,3.918,953117,3.95,90,,,
0.001036863,East,9/23/2011,9.54,855,94640.00,33866.40,-5.770,3.753,913905,3.77,91,,,
4.80583E-05,East,9/30/2011,9.54,879,94640.00,33866.40,-5.730,3.756,938710,3.81,92,,,
0.173974885,East,10/7/2011,6.87,900,132192.25,51969.50,-3.340,3.581,968457,3.53,93,,,
0.000224103,East,10/14/2011,6.87,922,132192.25,51969.50,-3.390,3.576,996833,3.48,94,,,
0.001705519,East,10/21/2011,6.87,939,132192.25,51969.50,-3.250,3.617,977327,3.62,95,,,
0,East,10/28/2011,6.87,947,132192.25,51969.50,-3.250,3.66,960199,3.62,96,,,
0.085443787,East,11/4/2011,5.77,950,150129.25,50307.50,-2.300,3.805,971799,3.47,97,,,
0.00047259,East,11/11/2011,5.77,955,150129.25,50307.50,-2.350,3.665,996935,3.42,98,,,
0.018542327,East,11/18/2011,5.77,957,150129.25,50307.50,-2.670,3.386,991038,3.1,99,,,
0.004544881,East,11/25/2011,5.77,953,150129.25,50307.50,-2.850,3.454,955095,2.92,100,,,
0.00241305,East,12/2/2011,6.08,951,150777.80,41924.20,-2.710,3.556,943649,3.37,101,,,
5.44655E-05,East,12/9/2011,6.08,935,150777.80,41924.20,-2.690,3.429,988215,3.39,102,,,
0.013280635,East,12/16/2011,6.08,905,150777.80,41924.20,-3.000,3.185,994703,3.08,103,,,
0.000177778,East,12/23/2011,6.08,881,150777.80,41924.20,-3.040,3.132,1000237,3.04,104,,,
0,East,12/30/2011,6.08,853,150777.80,41924.20,-3.040,3.053,1016237,3.04,105,,,
0.031552978,East,1/6/2012,5.42,819,220735.75,58642.25,-2.500,3.033,1096284,2.92,106,,,
0.001936,East,1/13/2012,5.42,791,220735.75,58642.25,-2.610,2.819,1134701,2.81,107,,,
0.024676678,East,1/20/2012,5.42,728,220735.75,58642.25,-3.020,2.406,1152540,2.4,108,,,
0.003168721,East,1/27/2012,5.42,682,220735.75,58642.25,-2.850,2.618,1203330,2.57,109,,,
0.00099723,East,2/3/2012,5.39,656,199182.00,54926.25,-2.940,2.53,1256019,2.45,110,,,
0.000416493,East,2/10/2012,5.39,616,199182.00,54926.25,-2.880,2.485,1262254,2.51,111,,,
1.20563E-05,East,2/17/2012,5.39,570,199182.00,54926.25,-2.870,2.528,1252913,2.52,112,,,
0.001468999,East,2/24/2012,5.39,545,199182.00,54926.25,-2.760,2.61,1204381,2.63,113,,,
0.027777778,East,3/2/2012,5.67,515,129892.00,46698.60,-3.220,2.506,1216428,2.45,114,,,
0.003481733,East,3/9/2012,5.67,491,129892.00,46698.60,-3.410,2.322,1231889,2.26,115,,,
0.001934968,East,3/16/2012,5.67,489,129892.00,46698.60,-3.560,2.291,1238679,2.11,116,,,
0.00019726,East,3/23/2012,5.67,506,129892.00,46698.60,-3.510,2.318,1231442,2.16,117,,,
0.000811682,East,3/30/2012,5.67,510,129892.00,46698.60,-3.610,2.18,1234227,2.06,118,,,
0.014855626,East,4/6/2012,6.02,515,146489.75,56669.00,-4.050,2.142,1252198,1.97,119,,,
9.75461E-05,East,4/13/2012,6.02,524,146489.75,56669.00,-4.090,2.017,1308103,1.93,120,,,
0.00029292,East,4/20/2012,6.02,546,146489.75,56669.00,-4.160,1.95,1284741,1.86,121,,,
0.001132581,East,4/27/2012,6.02,557,146489.75,56669.00,-4.020,2.054,1257703,2,122,,,
0.001788322,East,5/4/2012,6.45,571,139375.50,59217.75,-4.190,2.306,1226562,2.26,123,,,
0.000279105,East,5/11/2012,6.45,597,139375.50,59217.75,-4.120,2.438,1222589,2.33,124,,,
0.001508153,East,5/18/2012,6.45,621,139375.50,59217.75,-3.960,2.577,1210292,2.49,125,,,
0.00063769,East,5/25/2012,6.45,644,139375.50,59217.75,-3.860,2.654,1207028,2.59,126,,,
0.065780289,East,6/1/2012,7.22,663,108033.80,45937.80,-4.850,2.399,1206991,2.37,127,,,
6.802E-05,East,6/8/2012,7.22,685,108033.80,45937.80,-4.890,2.371,1176268,2.33,128,,,
0.000338741,East,6/15/2012,7.22,704,108033.80,45937.80,-4.980,2.319,1185328,2.24,129,,,
0.003161239,East,6/22/2012,7.22,719,108033.80,45937.80,-4.700,2.581,1145017,2.52,130,,,
0.002607515,East,6/29/2012,7.22,738,108033.80,45937.80,-4.460,2.756,1115630,2.76,131,,,
0.380185606,East,7/6/2012,10.05,747,154307.00,69163.25,-7.210,2.861,1116158,2.84,132,,,
7.69466E-06,East,7/13/2012,10.05,756,154307.00,69163.25,-7.230,2.844,1117917,2.82,133,,,
0.000191304,East,7/20/2012,10.05,764,154307.00,69163.25,-7.130,2.93,1123235,2.92,134,,,
0.00086748,East,7/27/2012,10.05,775,154307.00,69163.25,-6.920,3.098,1126758,3.13,135,,,
0.014734873,East,8/3/2012,9.2,786,117263.40,56087.80,-6.080,3.078,1112252,3.12,136,,,
0.001082064,East,8/10/2012,9.2,796,117263.40,56087.80,-6.280,2.904,1076707,2.92,137,,,
0.00057051,East,8/17/2012,9.2,815,117263.40,56087.80,-6.430,2.751,1086018,2.77,138,,,
9.67471E-06,East,8/24/2012,9.2,836,117263.40,56087.80,-6.410,2.776,1080414,2.79,139,,,
0.000119256,East,8/31/2012,9.2,847,117263.40,56087.80,-6.480,2.69,1101920,2.72,140,,,
0.016803841,East,9/7/2012,8.46,857,133097.25,67913.75,-5.640,2.777,1133496,2.82,141,,,
0.000113173,East,9/14/2012,8.46,874,133097.25,67913.75,-5.580,2.969,1122990,2.88,142,,,
0.000462481,East,9/21/2012,8.46,892,133097.25,67913.75,-5.700,2.816,1067076,2.76,143,,,
0.000889504,East,9/28/2012,8.46,908,133097.25,67913.75,-5.530,3.08,1147792,2.93,144,,,
0.049472056,East,10/5/2012,7.52,926,139534.50,71034.25,-4.300,3.442,1187378,3.22,145,,,
8.65333E-05,East,10/12/2012,7.52,936,139534.50,71034.25,-4.260,3.512,1188592,3.26,146,,,
0.000137759,East,10/19/2012,7.52,945,139534.50,71034.25,-4.210,3.519,1204690,3.31,147,,,
0.000564204,East,10/26/2012,7.52,960,139534.50,71034.25,-4.110,3.454,1183848,3.41,148,,,
0.253662955,East,11/2/2012,5.48,960,139668.00,55274.20,-2.040,3.621,1175941,3.44,149,,,
0.000384468,East,11/9/2012,5.48,942,139668.00,55274.20,-2.080,3.572,1150704,3.4,150,,,
0.004530325,East,11/16/2012,5.48,935,139668.00,55274.20,-1.940,3.712,1156533,3.54,151,,,
0.001301945,East,11/23/2012,5.48,927,139668.00,55274.20,-1.870,3.839,1164799,3.61,152,,,
0.000714919,East,11/30/2012,5.48,902,139668.00,55274.20,-1.820,3.681,1152312,3.66,153,,,
0.066688806,East,12/7/2012,5.7,900,196228.25,71107.75,-2.290,3.609,1137704,3.41,154,,,
0.002307355,East,12/14/2012,5.7,884,196228.25,71107.75,-2.400,3.383,1167143,3.3,155,,,
0,East,12/21/2012,5.7,868,196228.25,71107.75,-2.400,3.402,1164624,3.3,156,,,
0.000277778,East,12/28/2012,5.7,829,196228.25,71107.75,-2.360,3.39,1164815,3.34,157,,,
0.151967825,East,1/4/2013,4.72,776,224018.50,82012.25,-1.440,3.267,1175043,3.28,158,,,
0.004822531,East,1/11/2013,4.72,736,224018.50,82012.25,-1.540,3.223,1174780,3.18,159,,,
0.028503964,East,1/18/2013,4.72,708,224018.50,82012.25,-1.280,3.465,1174981,3.44,160,,,
0.006103516,East,1/25/2013,4.72,651,224018.50,82012.25,-1.180,3.501,1146846,3.54,161,,,
3.077348463,East,2/1/2013,6.51,608,215677.50,74068.75,-3.250,3.298,1201259,3.26,162,,,
0.000463905,East,2/8/2013,6.51,549,215677.50,74068.75,-3.180,3.338,1193809,3.33,163,,,
0.000484554,East,2/15/2013,6.51,512,215677.50,74068.75,-3.250,3.226,1199688,3.26,164,,,
3.78698E-05,East,2/22/2013,6.51,458,215677.50,74068.75,-3.230,3.272,1201674,3.28,165,,,
0.01690805,East,3/1/2013,6.29,424,166054.40,66058.20,-2.810,3.443,1236980,3.48,166,,,
0.001025823,East,3/8/2013,6.29,377,166054.40,66058.20,-2.720,3.548,1272844,3.57,167,,,
0.00390625,East,3/15/2013,6.29,357,166054.40,66058.20,-2.550,3.732,1340116,3.74,168,,,
0.009611688,East,3/22/2013,6.29,324,166054.40,66058.20,-2.300,3.935,1407669,3.99,169,,,
0.000680529,East,3/29/2013,6.29,302,166054.40,66058.20,-2.240,3.983,1459808,4.05,170,,,
0.109135842,East,4/5/2013,6.97,295,150231.00,81122.50,-2.980,3.991,1517970,3.99,171,,,
0.002207108,East,4/12/2013,6.97,310,150231.00,81122.50,-2.840,4.109,1564250,4.13,172,,,
0.00178536,East,4/19/2013,6.97,329,150231.00,81122.50,-2.720,4.264,1573733,4.25,173,,,
1.35164E-05,East,4/26/2013,6.97,344,150231.00,81122.50,-2.730,4.198,1559802,4.24,174,,,
0.159414456,East,5/3/2013,8.05,376,104265.40,68066.00,-3.820,4.225,1537414,4.23,175,,,
0.007921932,East,5/10/2013,8.05,408,104265.40,68066.00,-4.160,3.96,1507390,3.89,176,,,
0.000208025,East,5/17/2013,8.05,433,104265.40,68066.00,-4.100,4.001,1490834,3.95,177,,,
0.002147531,East,5/24/2013,8.05,461,104265.40,68066.00,-3.910,4.193,1498148,4.14,178,,,
2.61641E-05,East,5/31/2013,8.05,491,104265.40,68066.00,-3.930,4.082,1460034,4.12,179,,,
0.059670182,East,6/7/2013,6.91,520,126529.75,83519.25,-2.970,3.929,1433839,3.94,180,,,
0.00327631,East,6/14/2013,6.91,551,126529.75,83519.25,-3.140,3.77,1442807,3.77,181,,,
0.00101424,East,6/21/2013,6.91,578,126529.75,83519.25,-3.040,3.878,1408440,3.87,182,,,
0.002434643,East,6/28/2013,6.91,599,126529.75,83519.25,-3.190,3.648,1388993,3.72,183,,,
0.143876338,East,7/5/2013,7.94,622,143668.00,98994.25,-4.400,3.635,1380105,3.54,184,,,
0.000743802,East,7/12/2013,7.94,634,143668.00,98994.25,-4.280,3.667,1406912,3.66,185,,,
4.91309E-05,East,7/19/2013,7.94,642,143668.00,98994.25,-4.250,3.716,1399786,3.69,186,,,
2.21453E-05,East,7/26/2013,7.94,661,143668.00,98994.25,-4.270,3.663,1368913,3.67,187,,,
0.029227386,East,8/2/2013,6.99,687,109191.20,79636.20,-3.540,3.414,1368006,3.45,188,,,
0.001348591,East,8/9/2013,6.99,708,109191.20,79636.20,-3.670,3.282,1370250,3.32,189,,,
6.68206E-05,East,8/16/2013,6.99,725,109191.20,79636.20,-3.640,3.345,1363235,3.35,190,,,
0.00147929,East,8/23/2013,6.99,743,109191.20,79636.20,-3.500,3.479,1328438,3.49,191,,,
0.000293878,East,8/30/2013,6.99,760,109191.20,79636.20,-3.440,3.558,1328801,3.55,192,,,
0.745411371,East,9/6/2013,10.05,778,124452.50,96284.00,-6.410,3.614,1306595,3.64,193,,,
2.19042E-05,East,9/13/2013,10.05,794,124452.50,96284.00,-6.440,3.614,1325431,3.61,194,,,
0.000241117,East,9/20/2013,10.05,817,124452.50,96284.00,-6.340,3.721,1284673,3.71,195,,,
0.000636886,East,9/27/2013,10.05,840,124452.50,96284.00,-6.500,3.535,1275792,3.55,196,,,
0.3136,East,10/4/2013,6.42,861,133565.75,100093.50,-2.860,3.543,1246549,3.56,197,,,
0.002396205,East,10/11/2013,6.42,879,133565.75,100093.50,-2.720,3.705,1266770,3.7,198,,,
0.001094831,East,10/18/2013,6.42,901,133565.75,100093.50,-2.630,3.78,1261740,3.79,199,,,
0.001445734,East,10/25/2013,6.42,908,133565.75,100093.50,-2.730,3.641,1261896,3.69,200,,,
0.19321338,East,11/1/2013,5.08,910,143171.60,78454.20,-1.530,3.556,1278043,3.55,201,,,
0.002733991,East,11/8/2013,5.08,917,143171.60,78454.20,-1.610,3.497,1279355,3.47,202,,,
0.008680221,East,11/15/2013,5.08,900,143171.60,78454.20,-1.460,3.604,1279061,3.62,203,,,
0.001688872,East,11/22/2013,5.08,897,143171.60,78454.20,-1.400,3.663,1240883,3.68,204,,,
0.018418367,East,11/29/2013,5.08,863,143171.60,78454.20,-1.210,3.864,1267787,3.87,205,,,
0.934977119,East,12/6/2013,6.32,843,214692.50,101156.75,-2.380,4.034,1308411,3.94,206,,,
0.024168491,East,12/13/2013,6.32,792,214692.50,101156.75,-2.010,4.313,1321483,4.31,207,,,
0.000891067,East,12/20/2013,6.32,737,214692.50,101156.75,-2.070,4.339,1294536,4.25,208,,,
0.009335107,East,12/27/2013,6.32,715,214692.50,101156.75,-1.870,4.43,1291380,4.45,209,,,
0.505848037,East,1/3/2014,7.56,672,208765.00,92774.00,-3.200,4.321,1308426,4.36,210,,,
0.000244141,East,1/10/2014,7.56,606,208765.00,92774.00,-3.250,4.176,1275849,4.31,211,,,
0.000605917,East,1/17/2014,7.56,580,208765.00,92774.00,-3.170,4.335,1287601,4.39,212,,,
0.04737832,East,1/24/2014,7.56,525,208765.00,92774.00,-2.480,4.672,1257253,5.08,213,,,
0.007170265,East,1/31/2014,7.56,459,208765.00,92774.00,-2.270,5.078,1258638,5.29,214,,,
0.635777911,East,2/7/2014,6.81,417,221204.25,105939.75,-0.460,5.003,1280849,6.35,215,,,
0.189035917,East,2/14/2014,6.81,356,221204.25,105939.75,-0.260,4.932,1255232,6.55,216,,,
4.474852071,East,2/21/2014,6.81,317,221204.25,105939.75,-0.810,5.975,1208023,6,217,,,
1.234567901,East,2/28/2014,6.81,280,221204.25,105939.75,-1.710,4.903,1190626,5.1,218,,,
0.289456585,East,3/7/2014,7.03,231,218922.75,117922.75,-0.790,4.592,1172007,6.24,219,,,
4.415318058,East,3/14/2014,7.03,213,218922.75,117922.75,-2.450,4.511,1155891,4.58,220,,,
0.003748438,East,3/21/2014,7.03,192,218922.75,117922.75,-2.600,4.432,1138127,4.43,221,,,
0.000133136,East,3/28/2014,7.03,167,218922.75,117922.75,-2.570,4.432,1113438,4.46,222,,,
0.004905449,East,4/4/2014,6.84,167,153183.25,115794.25,-2.390,4.384,1113228,4.45,223,,,
0.00567217,East,4/11/2014,6.84,169,153183.25,115794.25,-2.210,4.574,1111608,4.63,224,,,
8.18984E-05,East,4/18/2014,6.84,181,153183.25,115794.25,-2.190,4.6,1091694,4.65,225,,,
0.004691312,East,4/25/2014,6.84,198,153183.25,115794.25,-2.040,4.704,1084659,4.8,226,,,
0.021626298,East,5/2/2014,7.1,215,109528.80,96190.20,-2.340,4.767,1074913,4.76,227,,,
7.30514E-05,East,5/9/2014,7.1,243,109528.80,96190.20,-2.360,4.666,1023801,4.74,228,,,
0.014076415,East,5/16/2014,7.1,277,109528.80,96190.20,-2.640,4.408,997231,4.46,229,,,
0.000516529,East,5/23/2014,7.1,308,109528.80,96190.20,-2.580,4.452,980333,4.52,230,,,
0,East,5/30/2014,7.1,341,109528.80,96190.20,-2.580,4.556,986495,4.52,231,,,
0.707424434,East,6/6/2014,9.36,370,133610.50,116850.25,-4.750,4.658,1020527,4.61,232,,,
0,East,6/13/2014,9.36,403,133610.50,116850.25,-4.750,4.637,1059370,4.61,233,,,
0.000110803,East,6/20/2014,9.36,433,133610.50,116850.25,-4.700,4.652,1045923,4.66,234,,,
0.000887279,East,6/27/2014,9.36,462,133610.50,116850.25,-4.840,4.469,1031681,4.52,235,,,
0.021519193,East,7/4/2014,9.96,482,143716.00,132465.25,-5.550,4.42,1040013,4.41,236,,,
0.001571301,East,7/11/2014,9.96,509,143716.00,132465.25,-5.770,4.173,1028965,4.19,237,,,
0.000192233,East,7/18/2014,9.96,532,143716.00,132465.25,-5.850,4.054,1010714,4.11,238,,,
0.002130178,East,7/25/2014,9.96,557,143716.00,132465.25,-6.120,3.802,982801,3.84,239,,,
0.027235785,East,8/1/2014,8.9,584,114292.20,106566.80,-5.110,3.796,969135,3.79,240,,,
0.00064721,East,8/8/2014,8.9,608,114292.20,106566.80,-4.980,3.9,956296,3.92,241,,,
1.61288E-05,East,8/15/2014,8.9,635,114292.20,106566.80,-5.000,3.89,960195,3.9,242,,,
0.0001,East,8/22/2014,8.9,659,114292.20,106566.80,-5.050,3.844,952728,3.85,243,,,
0.001003823,East,8/29/2014,8.9,681,114292.20,106566.80,-4.890,3.983,976994,4.01,244,,,
0.008849076,East,9/5/2014,8.36,704,133854.00,129991.25,-4.430,3.837,989817,3.93,245,,,
2.03823E-05,East,9/12/2014,8.36,727,133854.00,129991.25,-4.450,3.899,999207,3.91,246,,,
8.07979E-05,East,9/19/2014,8.36,758,133854.00,129991.25,-4.410,3.937,944154,3.95,247,,,
0.000251953,East,9/26/2014,8.36,790,133854.00,129991.25,-4.480,3.906,937715,3.88,248,,,
0.336814413,East,10/3/2014,5.9,817,111173.40,110001.20,-1.880,4.054,921759,4.02,249,,,
0.006366003,East,10/10/2014,5.9,840,111173.40,110001.20,-2.030,3.883,922102,3.87,250,,,
0.000606664,East,10/17/2014,5.9,859,111173.40,110001.20,-2.080,3.819,912072,3.82,251,,,
0.00834412,East,10/24/2014,5.9,877,111173.40,110001.20,-2.270,3.657,891641,3.63,252,,,
7.76262E-05,East,10/31/2014,5.9,894,111173.40,110001.20,-2.250,3.728,915135,3.65,253,,,
0.05548642,East,11/7/2014,5.55,895,180879.50,132995.00,-1.720,4.237,967434,3.83,254,,,
0.036810438,East,11/14/2014,5.55,892,180879.50,132995.00,-1.390,4.137,966597,4.16,255,,,
0.016769318,East,11/21/2014,5.55,852,180879.50,132995.00,-1.210,4.342,955365,4.34,256,,,
0.022129636,East,11/28/2014,5.55,839,180879.50,132995.00,-1.390,4.219,969944,4.16,257,,,
0.637699912,East,12/5/2014,6.25,819,214946.25,139015.50,-2.500,3.827,948980,3.75,258,,,
0.001296,East,12/12/2014,6.25,792,214946.25,139015.50,-2.590,3.676,920021,3.66,259,,,
0.000134166,East,12/19/2014,6.25,776,214946.25,139015.50,-2.560,3.629,924013,3.69,260,,,
0.085830688,East,12/26/2014,6.25,765,214946.25,139015.50,-3.310,3.088,933734,2.94,261,,,
0.084117524,East,1/2/2015,5.44,737,211562.80,116480.00,-2.350,3.044,956917,3.09,262,,,
0.000651879,East,1/9/2015,5.44,685,211562.80,116480.00,-2.410,2.913,984362,3.03,263,,,
0.000430433,East,1/16/2015,5.44,631,211562.80,116480.00,-2.360,3.051,1019571,3.08,264,,,
